Date,Unregulated Inflow*** (cfs),,,,,,,,,
2-Dec-68,459, , , , , , , , , 
3-Dec-68,300, , , , , , , , , 
4-Dec-68,357, , , , , , , , , 
5-Dec-68,451, , , , , , , , , 
6-Dec-68,242, , , , , , , , , 
7-Dec-68,434, , , , , , , , , 
8-Dec-68,320, , , , , , , , , 
9-Dec-68,439, , , , , , , , , 
10-Dec-68,289, , , , , , , , , 
11-Dec-68,518, , , , , , , , , 
12-Dec-68,384, , , , , , , , , 
13-Dec-68,454, , , , , , , , , 
14-Dec-68,470, , , , , , , , , 
15-Dec-68,311, , , , , , , , , 
16-Dec-68,309, , , , , , , , , 
17-Dec-68,326, , , , , , , , , 
18-Dec-68,359, , , , , , , , , 
19-Dec-68,330, , , , , , , , , 
20-Dec-68,385, , , , , , , , , 
21-Dec-68,413, , , , , , , , , 
22-Dec-68,312, , , , , , , , , 
23-Dec-68,397, , , , , , , , , 
24-Dec-68,396, , , , , , , , , 
25-Dec-68,402, , , , , , , , , 
26-Dec-68,474, , , , , , , , , 
27-Dec-68,401, , , , , , , , , 
28-Dec-68,411, , , , , , , , , 
29-Dec-68,391, , , , , , , , , 
30-Dec-68,325, , , , , , , , , 
31-Dec-68,425, , , , , , , , , 
1-Jan-69,405, , , , , , , , , 
2-Jan-69,277, , , , , , , , , 
3-Jan-69,436, , , , , , , , , 
4-Jan-69,305, , , , , , , , , 
5-Jan-69,301, , , , , , , , , 
6-Jan-69,478, , , , , , , , , 
7-Jan-69,288, , , , , , , , , 
8-Jan-69,293, , , , , , , , , 
9-Jan-69,414, , , , , , , , , 
10-Jan-69,376, , , , , , , , , 
11-Jan-69,192, , , , , , , , , 
12-Jan-69,459, , , , , , , , , 
13-Jan-69,330, , , , , , , , , 
14-Jan-69,380, , , , , , , , , 
15-Jan-69,622, , , , , , , , , 
16-Jan-69,321, , , , , , , , , 
17-Jan-69,426, , , , , , , , , 
18-Jan-69,361, , , , , , , , , 
19-Jan-69,380, , , , , , , , , 
20-Jan-69,421, , , , , , , , , 
21-Jan-69,452, , , , , , , , , 
22-Jan-69,631, , , , , , , , , 
23-Jan-69,458, , , , , , , , , 
24-Jan-69,346, , , , , , , , , 
25-Jan-69,616, , , , , , , , , 
26-Jan-69,292, , , , , , , , , 
27-Jan-69,478, , , , , , , , , 
28-Jan-69,389, , , , , , , , , 
29-Jan-69,399, , , , , , , , , 
30-Jan-69,340, , , , , , , , , 
31-Jan-69,210, , , , , , , , , 
1-Feb-69,354, , , , , , , , , 
2-Feb-69,210, , , , , , , , , 
3-Feb-69,338, , , , , , , , , 
4-Feb-69,193, , , , , , , , , 
5-Feb-69,401, , , , , , , , , 
6-Feb-69,378, , , , , , , , , 
7-Feb-69,498, , , , , , , , , 
8-Feb-69,380, , , , , , , , , 
9-Feb-69,329, , , , , , , , , 
10-Feb-69,379, , , , , , , , , 
11-Feb-69,323, , , , , , , , , 
12-Feb-69,295, , , , , , , , , 
13-Feb-69,430, , , , , , , , , 
14-Feb-69,443, , , , , , , , , 
15-Feb-69,441, , , , , , , , , 
16-Feb-69,419, , , , , , , , , 
17-Feb-69,403, , , , , , , , , 
18-Feb-69,292, , , , , , , , , 
19-Feb-69,332, , , , , , , , , 
20-Feb-69,448, , , , , , , , , 
21-Feb-69,366, , , , , , , , , 
22-Feb-69,361, , , , , , , , , 
23-Feb-69,396, , , , , , , , , 
24-Feb-69,437, , , , , , , , , 
25-Feb-69,489, , , , , , , , , 
26-Feb-69,471, , , , , , , , , 
27-Feb-69,422, , , , , , , , , 
28-Feb-69,327, , , , , , , , , 
1-Mar-69,353, , , , , , , , , 
2-Mar-69,369, , , , , , , , , 
3-Mar-69,363, , , , , , , , , 
4-Mar-69,420, , , , , , , , , 
5-Mar-69,416, , , , , , , , , 
6-Mar-69,290, , , , , , , , , 
7-Mar-69,540, , , , , , , , , 
8-Mar-69,416, , , , , , , , , 
9-Mar-69,380, , , , , , , , , 
10-Mar-69,301, , , , , , , , , 
11-Mar-69,329, , , , , , , , , 
12-Mar-69,370, , , , , , , , , 
13-Mar-69,301, , , , , , , , , 
14-Mar-69,265, , , , , , , , , 
15-Mar-69,352, , , , , , , , , 
16-Mar-69,348, , , , , , , , , 
17-Mar-69,295, , , , , , , , , 
18-Mar-69,152, , , , , , , , , 
19-Mar-69,469, , , , , , , , , 
20-Mar-69,384, , , , , , , , , 
21-Mar-69,321, , , , , , , , , 
22-Mar-69,415, , , , , , , , , 
23-Mar-69,430, , , , , , , , , 
24-Mar-69,349, , , , , , , , , 
25-Mar-69,190, , , , , , , , , 
26-Mar-69,431, , , , , , , , , 
27-Mar-69,322, , , , , , , , , 
28-Mar-69,365, , , , , , , , , 
29-Mar-69,429, , , , , , , , , 
30-Mar-69,501, , , , , , , , , 
31-Mar-69,571, , , , , , , , , 
1-Apr-69,1143, , , , , , , , , 
2-Apr-69,937, , , , , , , , , 
3-Apr-69,1106, , , , , , , , , 
4-Apr-69,1594, , , , , , , , , 
5-Apr-69,1538, , , , , , , , , 
6-Apr-69,1690, , , , , , , , , 
7-Apr-69,1553, , , , , , , , , 
8-Apr-69,1181, , , , , , , , , 
9-Apr-69,1249, , , , , , , , , 
10-Apr-69,1440, , , , , , , , , 
11-Apr-69,1422, , , , , , , , , 
12-Apr-69,1786, , , , , , , , , 
13-Apr-69,1650, , , , , , , , , 
14-Apr-69,1739, , , , , , , , , 
15-Apr-69,1617, , , , , , , , , 
16-Apr-69,1518, , , , , , , , , 
17-Apr-69,1412, , , , , , , , , 
18-Apr-69,1332, , , , , , , , , 
19-Apr-69,1540, , , , , , , , , 
20-Apr-69,1963, , , , , , , , , 
21-Apr-69,2611, , , , , , , , , 
22-Apr-69,2903, , , , , , , , , 
23-Apr-69,3557, , , , , , , , , 
24-Apr-69,3789, , , , , , , , , 
25-Apr-69,3075, , , , , , , , , 
26-Apr-69,4272, , , , , , , , , 
27-Apr-69,2357, , , , , , , , , 
28-Apr-69,2345, , , , , , , , , 
29-Apr-69,2579, , , , , , , , , 
30-Apr-69,2758, , , , , , , , , 
1-May-69,2907, , , , , , , , , 
